tokenizer,spec,lang,family,tokens,words,graphemes,bytes,sents,tok_per_word,tok_per_grapheme,tok_per_byte,tok_per_sent,ratio_vs_pivot_per_sent,ratio_vs_pivot_per_word
gpt2,gpt2,eng,Germanic,27044,21901,131966,132096,1012,1.2348,0.2049,0.2047,26.723,1.0,1.0
gpt2,gpt2,hin,Indo-Aryan,200688,25643,85957,337439,1012,7.8262,2.3347,0.5947,198.308,7.4208,6.3379
gpt2,gpt2,ben,Indo-Aryan,259769,19506,81693,348729,1012,13.3174,3.1798,0.7449,256.689,9.6054,10.7848
gpt2,gpt2,mar,Indo-Aryan,212471,19046,80288,355511,1012,11.1557,2.6464,0.5976,209.952,7.8565,9.0342
gpt2,gpt2,kan,Dravidian,367366,16100,90371,375341,1012,22.8178,4.0651,0.9788,363.01,13.584,18.4785
gpt2,gpt2,tam,Dravidian,420171,16775,99724,421635,1012,25.0475,4.2133,0.9965,415.189,15.5366,20.2841
gpt2,gpt2,tel,Dravidian,350748,16938,76567,353661,1012,20.7078,4.5809,0.9918,346.589,12.9695,16.7697
qwen2.5,hf:Qwen/Qwen2.5-0.5B,eng,Germanic,27621,21901,131966,132096,1012,1.2612,0.2093,0.2091,27.293,1.0,1.0
qwen2.5,hf:Qwen/Qwen2.5-0.5B,hin,Indo-Aryan,121957,25643,85957,337439,1012,4.756,1.4188,0.3614,120.511,4.4154,3.7711
qwen2.5,hf:Qwen/Qwen2.5-0.5B,ben,Indo-Aryan,138814,19506,81693,348729,1012,7.1165,1.6992,0.3981,137.168,5.0257,5.6427
qwen2.5,hf:Qwen/Qwen2.5-0.5B,mar,Indo-Aryan,127476,19046,80288,355511,1012,6.6931,1.5877,0.3586,125.964,4.6152,5.307
qwen2.5,hf:Qwen/Qwen2.5-0.5B,kan,Dravidian,191127,16100,90371,375341,1012,11.8712,2.1149,0.5092,188.861,6.9196,9.4128
qwen2.5,hf:Qwen/Qwen2.5-0.5B,tam,Dravidian,168828,16775,99724,421635,1012,10.0643,1.693,0.4004,166.826,6.1123,7.9801
qwen2.5,hf:Qwen/Qwen2.5-0.5B,tel,Dravidian,193169,16938,76567,353661,1012,11.4045,2.5229,0.5462,190.878,6.9936,9.0427
xlm-r,hf:xlm-roberta-base,eng,Germanic,30661,21901,131966,132096,1012,1.4,0.2323,0.2321,30.297,1.0,1.0
xlm-r,hf:xlm-roberta-base,hin,Indo-Aryan,38221,25643,85957,337439,1012,1.4905,0.4447,0.1133,37.768,1.2466,1.0647
xlm-r,hf:xlm-roberta-base,ben,Indo-Aryan,42118,19506,81693,348729,1012,2.1592,0.5156,0.1208,41.619,1.3737,1.5423
xlm-r,hf:xlm-roberta-base,mar,Indo-Aryan,37330,19046,80288,355511,1012,1.96,0.465,0.105,36.887,1.2175,1.4
xlm-r,hf:xlm-roberta-base,kan,Dravidian,41459,16100,90371,375341,1012,2.5751,0.4588,0.1105,40.967,1.3522,1.8394
xlm-r,hf:xlm-roberta-base,tam,Dravidian,41354,16775,99724,421635,1012,2.4652,0.4147,0.0981,40.864,1.3487,1.7609
xlm-r,hf:xlm-roberta-base,tel,Dravidian,40372,16938,76567,353661,1012,2.3835,0.5273,0.1142,39.893,1.3167,1.7025
bloom,hf:bigscience/bloom-560m,eng,Germanic,27416,21901,131966,132096,1012,1.2518,0.2078,0.2075,27.091,1.0,1.0
bloom,hf:bigscience/bloom-560m,hin,Indo-Aryan,35039,25643,85957,337439,1012,1.3664,0.4076,0.1038,34.624,1.278,1.0915
bloom,hf:bigscience/bloom-560m,ben,Indo-Aryan,32021,19506,81693,348729,1012,1.6416,0.392,0.0918,31.641,1.168,1.3114
bloom,hf:bigscience/bloom-560m,mar,Indo-Aryan,33415,19046,80288,355511,1012,1.7544,0.4162,0.094,33.019,1.2188,1.4015
bloom,hf:bigscience/bloom-560m,kan,Dravidian,35670,16100,90371,375341,1012,2.2155,0.3947,0.095,35.247,1.3011,1.7699
bloom,hf:bigscience/bloom-560m,tam,Dravidian,35205,16775,99724,421635,1012,2.0987,0.353,0.0835,34.788,1.2841,1.6765
bloom,hf:bigscience/bloom-560m,tel,Dravidian,36418,16938,76567,353661,1012,2.1501,0.4756,0.103,35.986,1.3283,1.7176
sarvam-1,hf:sarvamai/sarvam-1,eng,Germanic,31422,21901,131966,132096,1012,1.4347,0.2381,0.2379,31.049,1.0,1.0
sarvam-1,hf:sarvamai/sarvam-1,hin,Indo-Aryan,35554,25643,85957,337439,1012,1.3865,0.4136,0.1054,35.132,1.1315,0.9664
sarvam-1,hf:sarvamai/sarvam-1,ben,Indo-Aryan,35150,19506,81693,348729,1012,1.802,0.4303,0.1008,34.733,1.1186,1.256
sarvam-1,hf:sarvamai/sarvam-1,mar,Indo-Aryan,33666,19046,80288,355511,1012,1.7676,0.4193,0.0947,33.267,1.0714,1.232
sarvam-1,hf:sarvamai/sarvam-1,kan,Dravidian,38153,16100,90371,375341,1012,2.3698,0.4222,0.1016,37.701,1.2142,1.6517
sarvam-1,hf:sarvamai/sarvam-1,tam,Dravidian,36386,16775,99724,421635,1012,2.1691,0.3649,0.0863,35.955,1.158,1.5118
sarvam-1,hf:sarvamai/sarvam-1,tel,Dravidian,36209,16938,76567,353661,1012,2.1377,0.4729,0.1024,35.78,1.1523,1.49
