tokenizer,spec,lang,family,tokens,words,graphemes,bytes,sents,tok_per_word,tok_per_grapheme,tok_per_byte,tok_per_sent,ratio_vs_pivot_per_sent,ratio_vs_pivot_per_word
gpt2,gpt2,eng,Germanic,25741,20954,125194,125290,997,1.2285,0.2056,0.2055,25.818,1.0,1.0
gpt2,gpt2,hin,Indo-Aryan,191828,24607,82404,322640,997,7.7957,2.3279,0.5946,192.405,7.4522,6.3459
gpt2,gpt2,ben,Indo-Aryan,248577,18756,78123,333496,997,13.2532,3.1819,0.7454,249.325,9.6569,10.7885
gpt2,gpt2,mar,Indo-Aryan,200588,18065,76101,335677,997,11.1037,2.6358,0.5976,201.192,7.7925,9.0388
gpt2,gpt2,kan,Dravidian,349772,15430,86177,357408,997,22.6683,4.0588,0.9786,350.824,13.5881,18.4527
gpt2,gpt2,tam,Dravidian,397163,16134,94467,398795,997,24.6165,4.2043,0.9959,398.358,15.4292,20.0386
gpt2,gpt2,tel,Dravidian,335642,16388,73568,338804,997,20.481,4.5623,0.9907,336.652,13.0392,16.6722
qwen2.5,hf:Qwen/Qwen2.5-0.5B,eng,Germanic,26255,20954,125194,125290,997,1.253,0.2097,0.2096,26.334,1.0,1.0
qwen2.5,hf:Qwen/Qwen2.5-0.5B,hin,Indo-Aryan,116701,24607,82404,322640,997,4.7426,1.4162,0.3617,117.052,4.4449,3.785
qwen2.5,hf:Qwen/Qwen2.5-0.5B,ben,Indo-Aryan,132667,18756,78123,333496,997,7.0733,1.6982,0.3978,133.066,5.053,5.6452
qwen2.5,hf:Qwen/Qwen2.5-0.5B,mar,Indo-Aryan,120709,18065,76101,335677,997,6.6819,1.5862,0.3596,121.072,4.5976,5.3328
qwen2.5,hf:Qwen/Qwen2.5-0.5B,kan,Dravidian,182074,15430,86177,357408,997,11.8,2.1128,0.5094,182.622,6.9348,9.4175
qwen2.5,hf:Qwen/Qwen2.5-0.5B,tam,Dravidian,160139,16134,94467,398795,997,9.9256,1.6952,0.4016,160.621,6.0994,7.9215
qwen2.5,hf:Qwen/Qwen2.5-0.5B,tel,Dravidian,185113,16388,73568,338804,997,11.2956,2.5162,0.5464,185.67,7.0506,9.015
xlm-r,hf:xlm-roberta-base,eng,Germanic,28995,20954,125194,125290,997,1.3837,0.2316,0.2314,29.082,1.0,1.0
xlm-r,hf:xlm-roberta-base,hin,Indo-Aryan,36634,24607,82404,322640,997,1.4888,0.4446,0.1135,36.744,1.2635,1.0759
xlm-r,hf:xlm-roberta-base,ben,Indo-Aryan,39982,18756,78123,333496,997,2.1317,0.5118,0.1199,40.102,1.3789,1.5405
xlm-r,hf:xlm-roberta-base,mar,Indo-Aryan,35338,18065,76101,335677,997,1.9562,0.4644,0.1053,35.444,1.2188,1.4137
xlm-r,hf:xlm-roberta-base,kan,Dravidian,39602,15430,86177,357408,997,2.5666,0.4595,0.1108,39.721,1.3658,1.8548
xlm-r,hf:xlm-roberta-base,tam,Dravidian,39088,16134,94467,398795,997,2.4227,0.4138,0.098,39.206,1.3481,1.7508
xlm-r,hf:xlm-roberta-base,tel,Dravidian,38708,16388,73568,338804,997,2.362,0.5262,0.1142,38.824,1.335,1.7069
bloom,hf:bigscience/bloom-560m,eng,Germanic,25972,20954,125194,125290,997,1.2395,0.2075,0.2073,26.05,1.0,1.0
bloom,hf:bigscience/bloom-560m,hin,Indo-Aryan,33634,24607,82404,322640,997,1.3668,0.4082,0.1042,33.735,1.295,1.1028
bloom,hf:bigscience/bloom-560m,ben,Indo-Aryan,30484,18756,78123,333496,997,1.6253,0.3902,0.0914,30.576,1.1737,1.3113
bloom,hf:bigscience/bloom-560m,mar,Indo-Aryan,31684,18065,76101,335677,997,1.7539,0.4163,0.0944,31.779,1.2199,1.415
bloom,hf:bigscience/bloom-560m,kan,Dravidian,34673,15430,86177,357408,997,2.2471,0.4023,0.097,34.777,1.335,1.813
bloom,hf:bigscience/bloom-560m,tam,Dravidian,33511,16134,94467,398795,997,2.077,0.3547,0.084,33.612,1.2903,1.6757
bloom,hf:bigscience/bloom-560m,tel,Dravidian,35186,16388,73568,338804,997,2.1471,0.4783,0.1039,35.292,1.3548,1.7322
sarvam-1,hf:sarvamai/sarvam-1,eng,Germanic,29915,20954,125194,125290,997,1.4277,0.2389,0.2388,30.005,1.0,1.0
sarvam-1,hf:sarvamai/sarvam-1,hin,Indo-Aryan,34206,24607,82404,322640,997,1.3901,0.4151,0.106,34.309,1.1434,0.9737
sarvam-1,hf:sarvamai/sarvam-1,ben,Indo-Aryan,33169,18756,78123,333496,997,1.7684,0.4246,0.0995,33.269,1.1088,1.2387
sarvam-1,hf:sarvamai/sarvam-1,mar,Indo-Aryan,31879,18065,76101,335677,997,1.7647,0.4189,0.095,31.975,1.0657,1.2361
sarvam-1,hf:sarvamai/sarvam-1,kan,Dravidian,37225,15430,86177,357408,997,2.4125,0.432,0.1042,37.337,1.2444,1.6898
sarvam-1,hf:sarvamai/sarvam-1,tam,Dravidian,34539,16134,94467,398795,997,2.1408,0.3656,0.0866,34.643,1.1546,1.4995
sarvam-1,hf:sarvamai/sarvam-1,tel,Dravidian,34774,16388,73568,338804,997,2.1219,0.4727,0.1026,34.879,1.1624,1.4863
